"","ceRNA","log_rank_p","cancer","sur_sig"
"186","AC100861.1-MIR320C2-RARG",0.1234612622431,"BRCA","no_sig"
"187","AC100861.1-MIR320C2-RHOA",0.744659403088986,"BRCA","no_sig"
"188","AC104667.2-MIR10B-ACTG1",0.273994437314195,"BRCA","no_sig"
"189","AC104667.2-MIR10B-PAK4",0.107502619190499,"BRCA","no_sig"
"190","AC104667.2-MIR10B-PSMD13",0.340940276142253,"BRCA","no_sig"
"191","AC104667.2-MIR218-1-PPIA",0.214716387598121,"BRCA","no_sig"
"192","AC104667.2-MIR218-1-RHOA",0.906085252954326,"BRCA","no_sig"
"193","AC104667.2-MIR218-1-VAV2",0.242300861814289,"BRCA","no_sig"
"194","AC104667.2-MIR218-2-PPIA",0.214716387598121,"BRCA","no_sig"
"195","AC104667.2-MIR218-2-VAV2",0.241836063028003,"BRCA","no_sig"
"196","AC104667.2-MIR3194-ACTG1",0.27672655143436,"BRCA","no_sig"
"197","AC104667.2-MIR3194-GRB2",0.412386826181126,"BRCA","no_sig"
"198","AC104667.2-MIR3194-RAC3",0.821247558456392,"BRCA","no_sig"
"199","AC104667.2-MIR326-ACTG1",0.354755126363483,"BRCA","no_sig"
"200","AC104667.2-MIR326-ANXA6",0.375309203829465,"BRCA","no_sig"
"201","AC111152.2-MIR320B2-MAPK3",0.248595778110194,"BRCA","no_sig"
"202","AC111152.2-MIR320B2-PPIA",0.168504350840428,"BRCA","no_sig"
"203","AC111152.2-MIR320C2-MDK",0.17558947741333,"BRCA","no_sig"
"204","AC124068.2-MIR1277-SEMA3F",0.197605197784645,"BRCA","no_sig"
"205","AC124068.2-MIR766-AEN",0.328801258306136,"BRCA","no_sig"
"206","AC124068.2-MIR766-MYDGF",0.300835332635473,"BRCA","no_sig"
"207","AC124068.2-MIR766-PDF",0.00225089782774124,"BRCA","sig"
"208","AC124068.2-MIR766-SDC4",0.870543565147476,"BRCA","no_sig"
"209","AC135050.6-MIR140-STC2",0.0027366192394882,"BRCA","sig"
"210","AFAP1-AS1-MIR145-CDK4",0.103828742438714,"BRCA","no_sig"
"211","AFAP1-AS1-MIR145-IFNB1",0.637758608408328,"BRCA","no_sig"
"212","AFAP1-AS1-MIR145-MMP12",0.527874362128021,"BRCA","no_sig"
"213","AFAP1-AS1-MIR145-STAT1",0.550892339734004,"BRCA","no_sig"
"214","AFAP1-AS1-MIR145-VEGFA",0.0958249360526272,"BRCA","no_sig"
"215","AGAP2-AS1-MIR4677-NR2F6",0.707556698950303,"BRCA","no_sig"
"216","AGAP2-AS1-MIR98-LTBR",0.0337540493691231,"BRCA","sig"
"217","AGAP2-AS1-MIR98-NR2F6",0.690492980056133,"BRCA","no_sig"
"218","AGAP2-AS1-MIR98-PPP4C",0.0189611464613477,"BRCA","sig"
"219","AL049840.4-MIR193A-GDF11",0.103375978061154,"BRCA","no_sig"
"220","AL049840.4-MIR193A-HMGB1",0.791805051390545,"BRCA","no_sig"
"221","AL049840.4-MIR193A-KRAS",0.369200311668859,"BRCA","no_sig"
"222","AL049840.4-MIR193A-MAPK8",0.3896074629912,"BRCA","no_sig"
"223","AL049840.4-MIR193A-MAVS",0.0165592143445945,"BRCA","sig"
"224","AL049840.4-MIR193A-PIK3R3",0.544264966149258,"BRCA","no_sig"
"225","AL049840.4-MIR193A-PTK2",0.0186764428186507,"BRCA","sig"
"226","AL049840.4-MIR193A-SEMA3D",0.0939218689569264,"BRCA","no_sig"
"227","AL049840.4-MIR193A-TCF7L2",0.0549824830078383,"BRCA","no_sig"
"228","AL049840.4-MIR193A-TGFB2",0.513168311479407,"BRCA","no_sig"
"229","AL354920.1-MIR548O2-HSP90AA1",0.0126275125301517,"BRCA","sig"
"230","AP003555.1-MIR93-B2M",0.24175342622913,"BRCA","no_sig"
"231","AP003555.1-MIR93-BMPR2",0.687368294839049,"BRCA","no_sig"
"232","AP003555.1-MIR93-CDC42",0.738989882344556,"BRCA","no_sig"
"233","AP003555.1-MIR93-CXCL8",0.752430885969291,"BRCA","no_sig"
"234","AP003555.1-MIR93-F2R",0.490619509578105,"BRCA","no_sig"
"235","AP003555.1-MIR93-F2RL1",0.345935432860352,"BRCA","no_sig"
"236","AP003555.1-MIR93-HSPA5",0.156353393499068,"BRCA","no_sig"
"237","AP003555.1-MIR93-IFNAR1",0.0298997777056593,"BRCA","sig"
"238","AP003555.1-MIR93-MAPK1",0.545916809101487,"BRCA","no_sig"
"239","AP003555.1-MIR93-PDGFB",0.0268713424317404,"BRCA","sig"
"240","AP003555.1-MIR93-TNFRSF21",0.0419787005304948,"BRCA","sig"
"241","AP003555.1-MIR93-UBR1",0.108795030109713,"BRCA","no_sig"
