gene	p.value	fdr	ratio	test_type
ALDH2	6.48838811084723e-11	5.33245681356091e-09	0.316961285868793	t_test
ALDH3B2	0.0197535372556111	0.0367805493271085	1.71668232152718	t_test
ALDH6A1	0.000536195176069109	0.00168877985429589	0.641237092557941	t_test
ALDOA	4.09869409282002e-05	0.000190780341363734	2.22684025592362	t_test
ALG10	0.000809789326193494	0.00240282979847749	1.651465202757	t_test
ALG3	3.19190780117626e-09	1.09069327125055e-07	2.4286840818351	t_test
ALG6	1.19475654159326e-05	6.85295931838711e-05	1.83821941053033	t_test
ALG8	2.09241498913414e-06	1.66831057790366e-05	1.84185217961095	t_test
ALG9	0.00746594457185506	0.0161469942926517	0.53065292111829	t_test
ALK	0.000943276276524012	0.00273758522411695	1.99073935645468	t_test
ALKAL2	0.000109190318088826	0.000434861838392524	0.198818296464113	t_test
ALKBH4	4.44706858908121e-05	0.000204384058527719	1.82408514944628	t_test
ALKBH6	2.93065619368378e-08	6.01366148015061e-07	3.17048147751563	t_test
ALOXE3	0.00591797346126081	0.0132054361863222	3.53594531522154	t_test
ALPK3	0.0218314547214511	0.0401366173415138	0.424405278956262	t_test
ALS2CL	0.0156644697159898	0.0301791231740641	1.73623716731625	t_test
ALYREF	0.000147033995071083	0.000559707079574625	1.70698684027498	t_test
AMACR	0.000112228597951201	0.000445168053183717	3.05848534211867	t_test
AMH	7.92489525428025e-06	4.87915372051845e-05	9.28497042519442	t_test
AMHR2	0.00836619079429986	0.0177490830910047	0.485780878287147	t_test
AMIGO1	0.00902564447800727	0.0189308631693401	0.604996035563394	t_test
AMIGO2	0.00381113349379954	0.00904981854669305	2.39754006624567	t_test
AMMECR1	0.00137176360919744	0.00375985695245394	1.74895158141909	t_test
AMN	0.00352509100546201	0.00848117526700709	2.84468935901954	t_test
AMOTL1	0.00058707493755467	0.00182947986812485	0.28615134816169	t_test
AMOTL2	0.00555364909744852	0.0124968801510404	0.491698603768257	t_test
AMPH	2.29848392633092e-06	1.79948722048751e-05	0.402700657712189	t_test
AMT	0.00784071682608097	0.0168010867568891	1.90553659423834	t_test
AMZ1	0.000282968709838485	0.000975657604103174	4.87456856033697	t_test
ANAPC11	1.79651794146738e-07	2.47984466235627e-06	1.92703521949238	t_test
ANG	2.91206106116606e-07	3.59543070618238e-06	0.574046829768882	t_test
ANGPT1	1.86787276261675e-05	9.85336698278345e-05	0.461056892086797	t_test
ANGPT4	0.000427619290139544	0.00138753325445967	1.98404778281981	t_test
ANGPTL1	1.5772332521289e-07	2.22512388601103e-06	0.142493513069109	t_test
ANGPTL2	8.81382825843359e-05	0.000362181739327872	0.356631230818191	t_test
ANGPTL7	6.07401386259692e-09	1.8220335074559e-07	0.071335419061095	t_test
ANK2	3.0439836720063e-11	2.92113067829778e-09	0.139318845924556	t_test
ANKEF1	3.95314711743078e-05	0.000185243086853642	2.60690958702434	t_test
ANKLE1	8.56513310699258e-05	0.000353866520166701	2.75682304606107	t_test
ANKLE2	3.55661064584987e-05	0.000169033933008274	1.55286179420989	t_test
ANKRD13B	0.00315897285744903	0.00771615592340773	1.89665504856135	t_test
ANKRD13D	2.69266591298223e-05	0.000132736585424341	1.69822197377382	t_test
ANKRD16	8.53466183474767e-06	5.1907586551676e-05	1.70055874959212	t_test
ANKRD23	0.0150253142353675	0.0291414360324338	1.60208695227119	t_test
ANKRD29	2.00527609572879e-09	7.71114442946998e-08	0.249174499321187	t_test
ANKRD33B	1.05985789084925e-07	1.62694277382664e-06	0.619467054769433	t_test
ANKRD35	1.95800919479328e-07	2.6547424158847e-06	0.445946231956867	t_test
ANKRD39	6.65787562873241e-06	4.24278033447202e-05	1.55203635017717	t_test
ANKRD44	5.33035751544149e-09	1.65230772809411e-07	0.453992246209678	t_test
ANKRD53	6.96013883544149e-10	3.34964519449806e-08	0.360850253900998	t_test
ANKRD55	0.000320768776485101	0.00108521013551831	0.396496263250698	t_test
ANKRD61	0.000346518160035747	0.00116226455268583	2.8913151245874	t_test
ANKRD65	0.00483589404513541	0.0111095237911898	2.60502147283299	t_test
ANKS1B	6.35543387076757e-06	4.10032943691309e-05	0.123498718177707	t_test
ANKZF1	0.000712101799300698	0.00215648968926549	1.5239875901573	t_test
ANLN	7.7869776262948e-05	0.00032642977619409	1.97791358652847	t_test
ANO1	0.00383533514495111	0.00909650451871933	2.93762232732631	t_test
ANO2	1.46055615212016e-06	1.25598921394947e-05	0.55690583651126	t_test
ANO4	6.07932975853229e-05	0.000265036285936448	0.295778869758472	t_test
