lnc	p.value	fdr	ratio	test_type
AL354892.3	0.000528156267322768	0.00293314292314764	1.93962570233613	t_test
AL354953.1	0.000246049576657423	0.00160748039073537	7.89805363189158	t_test
AL355001.2	0.000779586440991463	0.00397540663387572	1.83609507692396	t_test
AL355353.1	0.00295895697810827	0.011126581736001	2.10766317593843	t_test
AL355388.1	0.000952547176090513	0.00464356684628057	2.23601380584247	t_test
AL355488.1	1.00141049633257e-06	2.30511593688515e-05	3.56857518165736	t_test
AL355574.1	0.0017652435979321	0.00745659584517385	1.65193649080209	t_test
AL355916.1	0.000697138513349022	0.00364554598381877	6.01410917973981	t_test
AL355987.4	0.00151285817231069	0.00665982069419344	3.85195000948069	t_test
AL355999.1	0.0163219924206203	0.0433902507630736	1.70631343990928	t_test
AL356299.2	0.00250767649241978	0.00985072918792651	2.23270063216416	t_test
AL356489.2	2.47475885251632e-06	4.6529244685097e-05	0.197005339643078	t_test
AL356495.1	4.16373782633425e-05	0.000399038376119115	0.260469436534952	t_test
AL357033.3	8.11099809790553e-11	1.73716420131664e-08	0.351740158628168	t_test
AL357033.4	1.19656028624198e-09	1.20290938163837e-07	0.398150739327617	t_test
AL357054.4	1.54413688793496e-06	3.29282177920676e-05	0.391399281740324	t_test
AL357075.3	2.87822682179316e-07	8.59281534797159e-06	0.31232662928882	t_test
AL357079.1	0.00167550420019439	0.00715831196024074	1.78186263329797	t_test
AL357079.2	0.00220579175206531	0.00885552581147001	2.44192102970067	t_test
AL357140.2	0.000787476140240482	0.00400734242440559	1.7533806641154	t_test
AL358072.1	0.012445741836994	0.0350329853080184	2.04385081515686	t_test
AL358334.2	0.0079552298359282	0.0245843551893239	2.73557069586664	t_test
AL358472.2	0.00152519459997037	0.00670813267808397	1.80411236427073	t_test
AL358472.3	3.00995909979462e-06	5.32696913780412e-05	2.22955201456925	t_test
AL358472.4	0.000255235320330751	0.00165215399204898	1.67378578635035	t_test
AL358472.5	0.00143305159962932	0.00638138203839345	2.93813735903438	t_test
AL358777.3	6.96817852127817e-06	0.000100660549547848	3.64118267166522	t_test
AL359313.1	0.00611161598050472	0.0201107684168111	0.656109272787875	t_test
AL359513.1	0.0142335288007777	0.0389307955983515	2.1438749911886	t_test
AL359636.2	0.00428402481574162	0.0150844219030331	2.42901932176832	t_test
AL359762.1	0.00052094125299551	0.00289961199124958	2.20448488402056	t_test
AL359762.3	0.000135562591492744	0.00102893886855664	3.18813437339559	t_test
AL359878.1	0.0127782478060311	0.0357037145164545	1.82118428654405	t_test
AL360178.1	2.48795639729437e-05	0.000265849744318266	0.425963787446275	t_test
AL360270.1	1.40909285638733e-05	0.000170965305678916	2.40957038334037	t_test
AL360270.2	0.000190340203587197	0.00132618931099085	2.44429918334443	t_test
AL360270.3	0.00012240881067735	0.000951081705672915	3.19288469322111	t_test
AL365361.1	0.000570463509531999	0.00311887152936141	0.575991023752483	t_test
AL390037.1	0.01202487207363	0.0341776459946021	2.85852994771299	t_test
AL390066.1	0.00658992201014424	0.0213144818266386	2.01643843914343	t_test
AL390067.1	2.17788063542331e-05	0.000240543497984198	4.30151518399033	t_test
AL390195.2	8.23337320591033e-07	1.99791115331598e-05	0.543347760903119	t_test
AL390719.2	0.0109377209056574	0.0316378233595235	2.47217955261339	t_test
AL390719.3	0.00310366563140523	0.011608699240928	3.04526906450742	t_test
AL390728.6	0.000347321590154146	0.00209413237833454	2.00088056485666	t_test
AL390955.2	0.00252733097591657	0.00991318595156717	0.524774756261688	t_test
AL390957.1	0.000149501670619606	0.00110910426125328	3.44049968778344	t_test
AL391095.1	0.000181429096660754	0.0012822377764001	3.22056802508126	t_test
AL391684.1	0.0113386107644405	0.0326059524959919	1.60688768260088	t_test
AL391807.1	6.80350543527558e-09	4.72029123579824e-07	0.237629884591873	t_test
AL441992.1	0.00016419032869745	0.0011807322031586	2.22900099547168	t_test
AL442663.3	0.0150112086405779	0.0405846398262824	0.579621061777718	t_test
AL445231.1	0.0108525586226554	0.031465393628723	1.9930792862357	t_test
AL445490.1	0.00684673796957999	0.0219434165505212	4.56791175553396	t_test
AL445524.1	1.53023839443357e-05	0.000180766290910786	1.92736779240644	t_test
AL450326.1	0.00863033717784075	0.0262426178629898	0.589098698125959	t_test
AL450344.3	0.00533403287044744	0.0179722612310698	0.62344644884416	t_test
