lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
LINC00460,MIR149,PLXND1,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER; EPIC,4,BLCA
LINC00460,MIR149,PSMD1,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,PSMD1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,PSMD1,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,PSMD1,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,PSMD1,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,PSMD1,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,PSMD1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,PSMD1,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,PSMD1,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,PSMD1,immune.score,XCELL,1,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,PSMD1,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,S1PR2,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,S1PR2,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,S1PR2,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,S1PR2,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
LINC00460,MIR149,S1PR2,cytotoxicity.score,MCPCOUNTER,1,BLCA
